song_name,artist_name,album,duration,artwork_url,scrape_date
Yougotmefeeling,,,3:3,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/17/dc/43/17dc433f-27cb-3cd7-1469-2184ae99b7b2/5056556160120_cover.jpg/2000x2000bb.jpg,2025-05-07
Old Phone,,,3:41,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/7e/a1/fb/7ea1fb0b-97c8-6e1d-b44c-8a71a5d00ac4/5021732786821.jpg/2000x2000bb.jpg,2025-05-07
LANDMiNE,,,3:15,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/5e/6e/4d/5e6e4ddf-e6d4-0a73-8ff3-aa10b3e71565/artwork.jpg/2000x2000bb.jpg,2025-05-07
Para Ti,,,3:9,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/13/44/9c/13449c34-4e91-6fc0-71b1-9e43ca49395c/25UMGIM35455.rgb.jpg/2000x2000bb.jpg,2025-05-07
Lose My Mind (feat. Doja Cat),,,3:29,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/a6/91/da/a691dac7-4cb7-82f5-0eda-e37b96f63f55/075679610720.jpg/2000x2000bb.jpg,2025-05-07
"The Catastrophe (Good Luck With That, Man)",,,5:28,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d1/22/a4/d122a466-7ed1-2fcf-5a9c-6acfb5a3c0aa/191401213271.png/2000x2000bb.jpg,2025-05-07
Better Than You,,,2:53,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/0c/38/40/0c384024-0015-379f-62f6-2d04d6ae5905/075679619976.jpg/2000x2000bb.jpg,2025-05-07
Spend It,,,2:45,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/b3/92/2b/b3922bff-9b5e-3b31-d4c7-d4a445681614/25UMGIM52419.rgb.jpg/2000x2000bb.jpg,2025-05-07
Burning Blue,,,3:25,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/44/0b/b4/440bb4fb-9717-f27d-4486-9e31718fffa4/196873070889.jpg/2000x2000bb.jpg,2025-05-07
The Way I Love You,,,3:23,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/a5/46/81/a546817f-6660-6285-3d30-4f2fa3e1419e/199350266881.jpg/2000x2000bb.jpg,2025-05-07
Event of a Fire,,,3:55,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/2d/76/03/2d760366-f2e8-c487-f4df-08e9885c874c/0720841305408_Cover.jpg/2000x2000bb.jpg,2025-05-07
Voices,,,3:32,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/96/42/0e/96420e54-8ae8-20f7-7ca8-70afaccebd7d/196872958799.jpg/2000x2000bb.jpg,2025-05-07
Lost Highway,,,3:9,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/54/c1/b8/54c1b8b8-08ae-4174-e5fe-355ebb45dbf8/25UMGIM61678.rgb.jpg/2000x2000bb.jpg,2025-05-07
Priceless,,,2:43,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/ea/fc/66/eafc66b2-7a46-71e5-ee8e-20692209e478/25UMGIM56693.rgb.jpg/2000x2000bb.jpg,2025-05-07
Bleed On Paper,,,5:39,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/06/c3/35/06c33526-87ee-d731-6099-77b594716ae5/25UMGIM26812.rgb.jpg/2000x2000bb.jpg,2025-05-07
Backup Plan,,,3:1,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/fc/13/90/fc139071-e8e1-6621-9729-b5219fe99007/054391233479.jpg/2000x2000bb.jpg,2025-05-07
Is It Mine,,,2:52,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/f5/e6/24/f5e6241b-127b-be0e-dc14-46575212de1b/25UMGIM60553.rgb.jpg/2000x2000bb.jpg,2025-05-07
La Buena Eras TÃº,,,3:22,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/73/70/93/7370934a-86d9-9ed9-05a2-043f58eeee00/cover.jpg/2000x2000bb.jpg,2025-05-07
speed (feat. Ty Dolla $ign & Rich The Kid),,,2:48,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/3e/11/b8/3e11b8e7-dc5d-b894-f2dd-f3f860527d97/196873118932.jpg/2000x2000bb.jpg,2025-05-07
Sign Language,,,2:50,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/bb/6c/48/bb6c48ef-e377-21d4-481f-aa97b24ac7e1/199066787724.jpg/2000x2000bb.jpg,2025-05-07
Blue Devil,,,2:19,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/aa/ab/f1/aaabf1b1-3e87-d0af-4ae9-d07a0cf702fe/198704411465_Cover.jpg/2000x2000bb.jpg,2025-05-07
hope u don't mind,,,2:1,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/b5/35/3c/b5353c14-1891-99f2-40e9-388ac1e385d4/810129977554.jpg/2000x2000bb.jpg,2025-05-07
SEEIN' STARS,,,3:6,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/d1/1c/28/d11c28a8-0e83-41c3-afc7-b873dd7be188/075679614896.jpg/2000x2000bb.jpg,2025-05-07
Cold Heart,,,3:45,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/23/85/5f/23855f7a-9857-e0c0-f3bf-8c5ad26c41c9/5054429204445.png/2000x2000bb.jpg,2025-05-07
Entertainer,,,3:23,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/13/97/62/139762db-7510-9503-9973-716bf24edb77/5021732609786.jpg/2000x2000bb.jpg,2025-05-07
money,,,2:58,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/d4/28/d5/d428d5e1-5c57-1c21-b848-fbd616d2f66d/114279.jpg/2000x2000bb.jpg,2025-05-07
Sweet Love,,,3:32,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/6f/6e/38/6f6e3832-dec5-e9d5-2c35-d90e103883cc/075679613967.jpg/2000x2000bb.jpg,2025-05-07
Just Like Me,,,3:24,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/f5/08/6d/f5086dd4-cf85-b3f2-7a26-9aff065c66a9/27636.jpg/2000x2000bb.jpg,2025-05-07
peliculiando,,,3:28,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/51/0a/a3/510aa39f-7a41-b53c-70a0-6a0df60645bb/196872995978.jpg/2000x2000bb.jpg,2025-05-07
Me PrometÃ­,,,2:51,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/3a/6c/f2/3a6cf24e-454a-5796-27a7-aecb27cc6a44/198704478857_Cover.jpg/2000x2000bb.jpg,2025-05-07
